name,aliases,titles,wikiUrl,race,birth,death,gender,culture,hair,height,realm,spouse,_id
Buffo Boffin,,,http://lotr.wikia.com//wiki/Buffo_Boffin,Hobbit,"Late ,Third Age","Late ,Third Age",Male,,,,,Ivy Goodenough,ObjectId(5cd99d4bde30eff6ebccfc53)
Bombur,,,http://lotr.wikia.com//wiki/Bombur,Dwarf,TA 2834,,Male,,Ginger,,,,ObjectId(5cd99d4bde30eff6ebccfc54)
Borlad,,,http://lotr.wikia.com//wiki/Borlad,Human,"Late ,First Age",FA 473,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc55)
Borlas,,,http://lotr.wikia.com//wiki/Borlas,Human,TA 3011,,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc56)
Boromir,,,http://lotr.wikia.com//wiki/Boromir,Human,TA 2978,"February 26 ,3019",Male,,Dark (book) Light brown (movie),,,,ObjectId(5cd99d4bde30eff6ebccfc57)
Boromir (House of Bëor),,,http://lotr.wikia.com//wiki/Boromir_(House_of_B%C3%ABor),Human,FA 338,FA 432,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc58)
Boromir (Steward),,,http://lotr.wikia.com//wiki/Boromir_(Steward),Human,TA 2410,TA 2489,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc59)
Wilibald Bolger,,,http://lotr.wikia.com//wiki/Wilibald_Bolger,Hobbit,TA 2904,TA 3000,Male,,,,,Prisca Baggins,ObjectId(5cd99d4bde30eff6ebccfc5a)
Borondir,,,http://lotr.wikia.com//wiki/Borondir,Human,"Late ,Third Age","April 15 ,2510",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc5b)
Borthand,,,http://lotr.wikia.com//wiki/Borthand,Human,"Late ,First Age",FA 473,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc5c)
Blanco Bracegirdle,,,http://lotr.wikia.com//wiki/Blanco_Bracegirdle,Hobbit,TA 2865,,Male,,,,,Primrose Boffin,ObjectId(5cd99d4bde30eff6ebccfc5d)
Bruno Bracegirdle,,,http://lotr.wikia.com//wiki/Bruno_Bracegirdle,Hobbit,TA 2913,TA 3010,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc5e)
Primrose Bracegirdle,,,http://lotr.wikia.com//wiki/Primrose_Bracegirdle,Hobbit,TA 2865,,Female,,,,,Blanco Bracegirdle,ObjectId(5cd99d4bde30eff6ebccfc5f)
Brand,,,http://lotr.wikia.com//wiki/Brand,Human,TA 2957,"March 17 ,3019",Male,,,,"Dale,Laketown",Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc60)
Brandir,,,http://lotr.wikia.com//wiki/Brandir,Human,First Age,FA 499,,,,,,,ObjectId(5cd99d4bde30eff6ebccfc61)
Adaldrida (Bolger) Brandybuck,,,http://lotr.wikia.com//wiki/Adaldrida_(Bolger)_Brandybuck,Hobbit,TA 2818,,Female,,,,,Marmadoc Brandybuck,ObjectId(5cd99d4bde30eff6ebccfc62)
Amaranth Brandybuck,,,http://lotr.wikia.com//wiki/Amaranth_Brandybuck,Hobbit,TA 2904,TA 2998,Female,,,,,None,ObjectId(5cd99d4bde30eff6ebccfc63)
Borlach,,,http://lotr.wikia.com//wiki/Borlach,Human,"Late ,First Age",FA 473,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc64)
Esmeralda Brandybuck,,,http://lotr.wikia.com//wiki/Esmeralda_Brandybuck,Hobbit,TA 2936,,Female,,,,,Saradoc Brandybuck,ObjectId(5cd99d4bde30eff6ebccfc65)
Estella (Bolger) Brandybuck,,,http://lotr.wikia.com//wiki/Estella_(Bolger)_Brandybuck,Hobbit,TA 2985,"Before ,FO 63",Female,,Dark Blonde,,,Meriadoc Brandybuck,ObjectId(5cd99d4bde30eff6ebccfc66)
Hilda Brandybuck,,,http://lotr.wikia.com//wiki/Hilda_Brandybuck,Hobbit,TA 2954,,Female,,,,,Seredic Brandybuck,ObjectId(5cd99d4bde30eff6ebccfc67)
Madoc Brandybuck,,,http://lotr.wikia.com//wiki/Madoc_Brandybuck,Hobbit,SR 1175,SR 1277,Male,,,,Buckland,Hanna Goldworthy,ObjectId(5cd99d4bde30eff6ebccfc68)
Melilot Brandybuck,,,http://lotr.wikia.com//wiki/Melilot_Brandybuck,Hobbit,SR 1385,,Female,,,,,,ObjectId(5cd99d4bde30eff6ebccfc69)
Mentha Brandybuck,,,http://lotr.wikia.com//wiki/Mentha_Brandybuck,Hobbit,TA 2983,"Early-,Fourth Age",Female,,Dark Brown,,,,ObjectId(5cd99d4bde30eff6ebccfc6a)
Borin,,,http://lotr.wikia.com//wiki/Borin,Dwarf,TA 2450,TA 2711,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc6b)
Mirabella (Took) Brandybuck,,,http://lotr.wikia.com//wiki/Mirabella_(Took)_Brandybuck,Hobbit,TA 2860,TA 2960,Female,,,,,Gorbadoc Brandybuck,ObjectId(5cd99d4bde30eff6ebccfc6c)
Primula (Brandybuck) Baggins,,,http://lotr.wikia.com//wiki/Primula_(Brandybuck)_Baggins,Hobbit,TA 2920,TA 2980,Female,,,,,Drogo Baggins,ObjectId(5cd99d4bde30eff6ebccfc6d)
Seredic Brandybuck,,,http://lotr.wikia.com//wiki/Seredic_Brandybuck,Hobbit,TA 2948,,Male,,,,,Hilda Bracegirdle,ObjectId(5cd99d4bde30eff6ebccfc6e)
Brego,,,http://lotr.wikia.com//wiki/Brego,Human,TA 2512,TA 2570,Male,,,,Rohan,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc6f)
Bregolas,,,http://lotr.wikia.com//wiki/Bregolas,Human,"Late ,First Age",FA 455,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc70)
Bregor,,,http://lotr.wikia.com//wiki/Bregor,Human,"Mid ,First Age",Late First Age,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc71)
Sapphira (Brockhouse) Boffin,,,http://lotr.wikia.com//wiki/Sapphira_(Brockhouse)_Boffin,Hobbit,TA 2857,,Female,,,,,Uffo Boffin,ObjectId(5cd99d4bde30eff6ebccfc72)
Bucca of the Marish,,,http://lotr.wikia.com//wiki/Bucca_of_the_Marish,Hobbit,TA 1930,TA 2031,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc73)
Asphodel (Brandybuck) Burrows,,,http://lotr.wikia.com//wiki/Asphodel_(Brandybuck)_Burrows,Hobbit,TA 2913,TA 3012,Female,,,,,Rufus Burrows,ObjectId(5cd99d4bde30eff6ebccfc74)
Milo Burrows,,,http://lotr.wikia.com//wiki/Milo_Burrows,Hobbit,SR 1347,,Male,,,,,Peony Baggins,ObjectId(5cd99d4bde30eff6ebccfc75)
Celandine Brandybuck,,,http://lotr.wikia.com//wiki/Celandine_Brandybuck,Hobbit,TA 2994,,Female,,,,,None,ObjectId(5cd99d4bde30eff6ebccfc76)
Bëor,,,http://lotr.wikia.com//wiki/B%C3%ABor,Human,FA 262,FA 355,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc77)
Bór,,,http://lotr.wikia.com//wiki/B%C3%B3r,Human,"Late ,First Age",FA 473,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc78)
Calimehtar,,,http://lotr.wikia.com//wiki/Calimehtar,Human,TA 1736,TA 1936,Male,,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc79)
Minto Burrows,,,http://lotr.wikia.com//wiki/Minto_Burrows,Hobbit,TA 2996,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc7a)
Boron,,,http://lotr.wikia.com//wiki/Boron,Human,First Age,First Age,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc7b)
Meriadoc Brandybuck,,,http://lotr.wikia.com//wiki/Meriadoc_Brandybuck,Hobbit,TA 2982,FO 65,Male,,Golden yellow (film),"1.38m (4'6"")",,Estella (Bolger) Brandybuck,ObjectId(5cd99d4bde30eff6ebccfc7c)
Calmacil,,,http://lotr.wikia.com//wiki/Calmacil,Human,TA 1058,TA 1304,Male,,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc7d)
Celeborn,,,http://lotr.wikia.com//wiki/Celeborn,Elf,YT,"Still alive, departed over the sea in the early Fourth Age",Male,,Silver,Tall,"Eregion,Lothlórien,Caras Galadhon",Galadriel,ObjectId(5cd99d4bde30eff6ebccfc7e)
Celebrimbor,,,http://lotr.wikia.com//wiki/Celebrimbor,Elf,YT,"SA 1697 ,War of the Elves and Sauron",Male,,Dark,,Eregion,,ObjectId(5cd99d4bde30eff6ebccfc7f)
Celebrindor,,,http://lotr.wikia.com//wiki/Celebrindor,Human,TA 1062,TA 1272,Male,,,,Arthedain,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc80)
Celebrían,,,http://lotr.wikia.com//wiki/Celebr%C3%ADan,Elf,"Between the years ,SA 350, and SA 400","Still alive; Departed to ,Aman, in ,TA 2510",Female,,Possibly silver,,,Elrond,ObjectId(5cd99d4bde30eff6ebccfc81)
Celegorm,,,http://lotr.wikia.com//wiki/Celegorm,Elf,"During in the ,Noontide of Valinor",FA 506,Male,,Fair,,,None,ObjectId(5cd99d4bde30eff6ebccfc82)
Celepharn,,,http://lotr.wikia.com//wiki/Celepharn,Human,TA 979,TA 1191,Male,,,,Arthedain,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc83)
Cemendur,,,http://lotr.wikia.com//wiki/Cemendur,Human,SA 3399,TA 238,Male,,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc84)
Cemendur (son of Axantur),,,http://lotr.wikia.com//wiki/Cemendur_(son_of_Axantur),Human,SA 575,,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc85)
Ceorl,,,http://lotr.wikia.com//wiki/Ceorl,Human,"Late ,Third Age",,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc86)
Caliondo,,,http://lotr.wikia.com//wiki/Caliondo,Human,SA 512,SA 900,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc87)
Cirion,,,http://lotr.wikia.com//wiki/Cirion,Human,TA 2449,TA 2567,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc88)
Ciryandil,,,http://lotr.wikia.com//wiki/Ciryandil,Human,TA 820,TA 1015,Male,,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc89)
Ciryatur,,,http://lotr.wikia.com//wiki/Ciryatur,Human,"Mid ,Second Age","After ,SA 1700",Male,,Black,Tall,,,ObjectId(5cd99d4bde30eff6ebccfc8a)
Ciryon,,,http://lotr.wikia.com//wiki/Ciryon,Human,SA 3379,TA 2,Male,,,,,"Unknown, possibly known",ObjectId(5cd99d4bde30eff6ebccfc8b)
Bowman Cotton,,,http://lotr.wikia.com//wiki/Bowman_Cotton,Hobbit,TA 2886,,Male,,,,,None,ObjectId(5cd99d4bde30eff6ebccfc8c)
Lily Cotton,,,http://lotr.wikia.com//wiki/Lily_Cotton,Hobbit,"Late ,Third Age",,Female,,,,,Farmer Cotton,ObjectId(5cd99d4bde30eff6ebccfc8d)
Marigold (Gamgee) Cotton,,,http://lotr.wikia.com//wiki/Marigold_(Gamgee)_Cotton,Hobbit,TA 2983,,Female,,,,,Tolman Cotton,ObjectId(5cd99d4bde30eff6ebccfc8e)
Rosie Cotton,,,http://lotr.wikia.com//wiki/Rosie_Cotton,Hobbit,TA 2984,FO 61,Female,,Light brown (film),,,Sam Gamgee,ObjectId(5cd99d4bde30eff6ebccfc8f)
Tolman Cotton,,,http://lotr.wikia.com//wiki/Tolman_Cotton,Hobbit,TA 2941,FO 20,Male,,,,,Lily Brown,ObjectId(5cd99d4bde30eff6ebccfc90)
Castamir the Usurper,,,http://lotr.wikia.com//wiki/Castamir_the_Usurper,Human,TA 1259,TA 1447,Male,,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc91)
Curufin,,,http://lotr.wikia.com//wiki/Curufin,Elf,"During the ,Noontide of Valinor",FA 506,Male,,Dark,,Himlad,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc92)
Círdan,,,http://lotr.wikia.com//wiki/C%C3%ADrdan,Elf,"YT, 1050. Age = 11,484.9 Sun Years or 1,198.6 Valian Years as of FO 121 (death of Arwen).","Still alive, sailed into the ,West, sometime during the ,Fourth Age last of all elves to leave ,Middle-earth,.",Male,,"Silver, bearded",Very tall,,Presumably none,ObjectId(5cd99d4bde30eff6ebccfc93)
Dairuin,,,http://lotr.wikia.com//wiki/Dairuin,Human,"Late ,First Age",FA 460,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc94)
Damrod,,,http://lotr.wikia.com//wiki/Damrod,Human,"Late ,Third Age",TA 3019,Male,,Dark,,,,ObjectId(5cd99d4bde30eff6ebccfc95)
User:Deathshriek,,,http://lotr.wikia.com//wiki/User:Deathshriek,Dwarf,,,,,,,,,ObjectId(5cd99d4bde30eff6ebccfc96)
Denethor (First Age),,,http://lotr.wikia.com//wiki/Denethor_(First_Age),Elf,YT,YT 1497,Male,,,,Ossiriand,,ObjectId(5cd99d4bde30eff6ebccfc97)
Falco Chubb-Baggins,,,http://lotr.wikia.com//wiki/Falco_Chubb-Baggins,Hobbit,TA 2903,TA 2999,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc98)
Caranthir,,,http://lotr.wikia.com//wiki/Caranthir,Elf,"During the ,Noontide of Valinor",FA 506,Male,,Dark,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc99)
Denethor II,,,http://lotr.wikia.com//wiki/Denethor_II,Human,TA 2930,"March 15 ,3019",Male,,"Dark, grey (in old age)",,,Finduilas,ObjectId(5cd99d4bde30eff6ebccfc9a)
Diamond Took,,,http://lotr.wikia.com//wiki/Diamond_Took,Hobbit,TA 2995,"Before ,FO 63",Female,,Brown (film),,,Peregrin Took,ObjectId(5cd99d4bde30eff6ebccfc9b)
Dinodas Brandybuck,,,http://lotr.wikia.com//wiki/Dinodas_Brandybuck,Hobbit,SR 1316,SR 1410,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc9c)
Dior (Steward),,,http://lotr.wikia.com//wiki/Dior_(Steward),Human,TA 2328,TA 2435,Male,,,,,Possibly none,ObjectId(5cd99d4bde30eff6ebccfc9d)
Dodinas Brandybuck,,,http://lotr.wikia.com//wiki/Dodinas_Brandybuck,Hobbit,,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc9e)
Dori,,,http://lotr.wikia.com//wiki/Dori,Dwarf,TA 2827,,Male,,Gray (film),,,,ObjectId(5cd99d4bde30eff6ebccfc9f)
Dorlas,,,http://lotr.wikia.com//wiki/Dorlas,Human,"Late ,First Age",FA 499,Males,,,,,,ObjectId(5cd99d4bde30eff6ebccfca0)
Denethor I,,,http://lotr.wikia.com//wiki/Denethor_I,Human,TA 2375,TA 2477,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfca1)
Duinhir,,,http://lotr.wikia.com//wiki/Duinhir,Human,"Late-,Third Age","Early-,Fourth Age",Male,,Dark (Decipher Card),Tall,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfca2)
Durin VII,,,http://lotr.wikia.com//wiki/Durin_VII,Dwarf,FO 2,,Male,,,,Khazad-dum,,ObjectId(5cd99d4bde30eff6ebccfca3)
Dwalin,,,http://lotr.wikia.com//wiki/Dwalin,Dwarf,TA 2772,FO 91,Male,,Brown,,,,ObjectId(5cd99d4bde30eff6ebccfca4)
Dáin I,,,http://lotr.wikia.com//wiki/D%C3%A1in_I,Dwarf,TA 2440,TA 2589,Male,,,,Grey Mountains,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfca5)
Dervorin,,,http://lotr.wikia.com//wiki/Dervorin,Human,"Late ,Third Age",,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfca6)
Déagol,,,http://lotr.wikia.com//wiki/D%C3%A9agol,Hobbit,"Between TA 2400 and ,TA 2430",TA 2463,Male,,Dark-brown,,,None,ObjectId(5cd99d4bde30eff6ebccfca7)
Déor,,,http://lotr.wikia.com//wiki/D%C3%A9or,Human,TA 2644,TA 2718,Male,,,,Rohan,,ObjectId(5cd99d4bde30eff6ebccfca8)
Derufin,,,http://lotr.wikia.com//wiki/Derufin,Human,"Late ,Third Age","Mid ,March ,3019",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfca9)
Duilin,,,http://lotr.wikia.com//wiki/Duilin,Human,"Late ,Third Age",TA 3019,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcaa)
Dáin II Ironfoot,,,http://lotr.wikia.com//wiki/D%C3%A1in_II_Ironfoot,Dwarf,TA 2767,"March 17 ,3019",Male,,,4'5 - 5' (Estimate),Lonely Mountain,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcab)
Déorwine,,,http://lotr.wikia.com//wiki/D%C3%A9orwine,Human,"Late ,Third Age","March 15 ,3019",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcac)
Dírhael,,,http://lotr.wikia.com//wiki/D%C3%ADrhael,Human,TA 2838,"After ,TA 2929",Male,,Brown (film),,,Ivorwen,ObjectId(5cd99d4bde30eff6ebccfcad)
Dírhavel,,,http://lotr.wikia.com//wiki/D%C3%ADrhavel,Human,"Late ,First Age",Late First Age,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcae)
Dís,,,http://lotr.wikia.com//wiki/D%C3%ADs,Dwarf,TA 2760,"After ,TA 2941",Female,,,,,,ObjectId(5cd99d4bde30eff6ebccfcaf)
Dúnhere,,,http://lotr.wikia.com//wiki/D%C3%BAnhere,Human,"Late ,Third Age","March 15 ,3019",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcb0)
Ecthelion II,,,http://lotr.wikia.com//wiki/Ecthelion_II,Human,TA 2886,TA 2984,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcb1)
Ecthelion I,,,http://lotr.wikia.com//wiki/Ecthelion_I,Human,TA 2600,TA 2698,Male,,,,,Possibly none,ObjectId(5cd99d4bde30eff6ebccfcb2)
Edrahil,,,http://lotr.wikia.com//wiki/Edrahil,Elf,,FA 465,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcb3)
Egalmoth,,,http://lotr.wikia.com//wiki/Egalmoth,Human,TA 2626,TA 2743,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcb4)
Eglantine (Banks) Took,,,http://lotr.wikia.com//wiki/Eglantine_(Banks)_Took,Hobbit,"Late ,Third Age",Late Third Age,Female,,,,,Paladin Took II,ObjectId(5cd99d4bde30eff6ebccfcb5)
Eilinel,,,http://lotr.wikia.com//wiki/Eilinel,Human,"Mid ,First Age","Between ,FA 455, - ,FA 460",Female,,,,,Gorlim,ObjectId(5cd99d4bde30eff6ebccfcb6)
Elatan,,,http://lotr.wikia.com//wiki/Elatan,Human,"Early ,Second Age",Early Second Age,Male,,,,,Silmariën,ObjectId(5cd99d4bde30eff6ebccfcb7)
Eldacar (King of Arnor),,,http://lotr.wikia.com//wiki/Eldacar_(King_of_Arnor),Human,TA 87,TA 339,Male,,,,Arnor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcb8)
Eldarion,,,http://lotr.wikia.com//wiki/Eldarion,Human,FO 43,"Before ,FO 220",Male,,Dark,,"Reunited Kingdom,Arnor,Gondor",,ObjectId(5cd99d4bde30eff6ebccfcb9)
Eldacar (King of Gondor),,,http://lotr.wikia.com//wiki/Eldacar_(King_of_Gondor),Human,TA 1255,TA 1490,Male,,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcba)
Elemmírë (elf),,,http://lotr.wikia.com//wiki/Elemm%C3%ADr%C3%AB_(elf),Elf,,Presumably still alive,,,,,,,ObjectId(5cd99d4bde30eff6ebccfcbb)
Elendil,,,http://lotr.wikia.com//wiki/Elendil,Human,SA 3119,SA 3441,Male,,Brown,"7' 10""","Arnor,Gondor",Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcbc)
Elendur,,,http://lotr.wikia.com//wiki/Elendur,Human,SA 3299,TA 2,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcbd)
Elendur of Arnor,,,http://lotr.wikia.com//wiki/Elendur_of_Arnor,Human,TA 552,TA 777,Male,,,,Arnor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcbe)
Elboron,,,http://lotr.wikia.com//wiki/Elboron,Human,,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcbf)
Eldalótë,,,http://lotr.wikia.com//wiki/Eldal%C3%B3t%C3%AB,Elf,YT,,Female,,,,,Angrod,ObjectId(5cd99d4bde30eff6ebccfcc0)
Elenwë,,,http://lotr.wikia.com//wiki/Elenw%C3%AB,Elf,YT,YT 1500,Female,,Golden,Tall,,Turgon,ObjectId(5cd99d4bde30eff6ebccfcc1)
Elfhelm,,,http://lotr.wikia.com//wiki/Elfhelm,Human,TA 2985,"Early ,Fourth Age",Male,,Dark,,,,ObjectId(5cd99d4bde30eff6ebccfcc2)
Elfhild,,,http://lotr.wikia.com//wiki/Elfhild,Human,TA 2950,TA 2978,Female,,,,Rohan,Théoden,ObjectId(5cd99d4bde30eff6ebccfcc3)
Elfwine,,,http://lotr.wikia.com//wiki/Elfwine,Human,FO 8,FO 103,Male,,,,Rohan,,ObjectId(5cd99d4bde30eff6ebccfcc4)
Elladan and Elrohir,,,http://lotr.wikia.com//wiki/Elladan_and_Elrohir,Elf,TA 130,,Male,,Dark,Tall,,,ObjectId(5cd99d4bde30eff6ebccfcc5)
Emeldir,,,http://lotr.wikia.com//wiki/Emeldir,Human,FA 406,,Female,,,,,Barahir,ObjectId(5cd99d4bde30eff6ebccfcc6)
Elphir,,,http://lotr.wikia.com//wiki/Elphir,Human,TA 2987,FO 57,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcc7)
Elrond,,,http://lotr.wikia.com//wiki/Elrond,Elf,FA 532,"Still alive; departed to ,Aman, on ,September 29 ,3021",Male,,Dark,Tall,Rivendell,Celebrían,ObjectId(5cd99d4bde30eff6ebccfcc8)
Enel,,,http://lotr.wikia.com//wiki/Enel,Elf,"Unknown, Awakened in the Years of the Trees",,Male,,,,,Enelyë,ObjectId(5cd99d4bde30eff6ebccfcc9)
Enelyë,,,http://lotr.wikia.com//wiki/Enely%C3%AB,Elf,"Unknown, Awakened in the ,Years of the Trees",,Female,,,,,Enel,ObjectId(5cd99d4bde30eff6ebccfcca)
Enerdhil,,,http://lotr.wikia.com//wiki/Enerdhil,Elf,"Unknown, possibly in the ,First Age",,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfccb)
Erchirion,,,http://lotr.wikia.com//wiki/Erchirion,Human,TA 2990,"Early ,Fourth Age",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfccd)
Erellont,,,http://lotr.wikia.com//wiki/Erellont,Elf,unknown,unknown,Male,,,,,unknown,ObjectId(5cd99d4bde30eff6ebccfcce)
Erendis,,,http://lotr.wikia.com//wiki/Erendis,Human,SA 771,SA 985,Female,,Dark,,Númenor,Tar-Aldarion,ObjectId(5cd99d4bde30eff6ebccfccf)
Erestor,,,http://lotr.wikia.com//wiki/Erestor,Elf,,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcd0)
Eorl the Young,,,http://lotr.wikia.com//wiki/Eorl_the_Young,Human,TA 2485,TA 2545,Male,,Blond,,Rohan,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcd2)
Erkenbrand,,,http://lotr.wikia.com//wiki/Erkenbrand,Human,"Late ,Third Age","early ,Fourth Age",Male,,,Tall,,,ObjectId(5cd99d4bde30eff6ebccfcd3)
Estelmo,,,http://lotr.wikia.com//wiki/Estelmo,Human,"Late ,Second Age","Early ,Third Age",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcd4)
Eradan,,,http://lotr.wikia.com//wiki/Eradan,Human,TA 1999,TA 2116,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcd5)
Eärendur of Númenor,,,http://lotr.wikia.com//wiki/E%C3%A4rendur_of_N%C3%BAmenor,Human,SA 361,"Early ,Second Age",Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcd6)
Eärnil I,,,http://lotr.wikia.com//wiki/E%C3%A4rnil_I,Human,TA 736,TA 936,Male,,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcd7)
Eärnil II,,,http://lotr.wikia.com//wiki/E%C3%A4rnil_II,Human,TA 1883,TA 2043,Male,,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcd8)
Eärnur,,,http://lotr.wikia.com//wiki/E%C3%A4rnur,Human,TA 1928,TA 2050,Male,,,,Gondor,None,ObjectId(5cd99d4bde30eff6ebccfcd9)
Eärwen,,,http://lotr.wikia.com//wiki/E%C3%A4rwen,Elf,Years of the Trees,Still alive,Female,,Star-like,,,Finarfin,ObjectId(5cd99d4bde30eff6ebccfcda)
Eärendur (Lord of Andúnië),,,http://lotr.wikia.com//wiki/E%C3%A4rendur_(Lord_of_And%C3%BAni%C3%AB),Human,"Late ,Second Age",Late Second Age,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcdb)
Eöl,,,http://lotr.wikia.com//wiki/E%C3%B6l,Elf,YT,FA 400,Male,,Dark,Tall,Nan Elmoth,Aredhel,ObjectId(5cd99d4bde30eff6ebccfcdc)
Eärendil of Gondor,,,http://lotr.wikia.com//wiki/E%C3%A4rendil_of_Gondor,Human,TA 48,TA 324,Male,,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcdd)
Eärendur of Arnor,,,http://lotr.wikia.com//wiki/E%C3%A4rendur_of_Arnor,Human,TA 640,TA 861,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcde)
Faramir (son of Ondoher),,,http://lotr.wikia.com//wiki/Faramir_(son_of_Ondoher),Human,"Mid ,Third Age",TA 1944,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcdf)
Fastred,,,http://lotr.wikia.com//wiki/Fastred,Human,TA 2858,TA 2885,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfce0)
Fastred (Pelennor Fields),,,http://lotr.wikia.com//wiki/Fastred_(Pelennor_Fields),Human,"Late ,Third Age","March 15 ,3019",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfce1)
Fengel,,,http://lotr.wikia.com//wiki/Fengel,Human,TA 2870,TA 2953,Male,,,,Rohan,,ObjectId(5cd99d4bde30eff6ebccfce2)
Ferumbras Took II,,,http://lotr.wikia.com//wiki/Ferumbras_Took_II,Hobbit,TA 2701,TA 2801,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfce3)
Finarfin,,,http://lotr.wikia.com//wiki/Finarfin,Elf,YT 1230,Still Alive,Male,,Golden,,Tirion,Eärwen,ObjectId(5cd99d4bde30eff6ebccfce4)
Findegil,,,http://lotr.wikia.com//wiki/Findegil,Human,Fourth Age,"sometime after ,FO 172",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfce5)
Findis,,,http://lotr.wikia.com//wiki/Findis,Elf,Years of the Trees,,Female,,,,,,ObjectId(5cd99d4bde30eff6ebccfce6)
Finduilas,,,http://lotr.wikia.com//wiki/Finduilas,Elf,First Age,FA 495,Female,,Golden,,,"None; betrothed to ,Gwindor, but never married.",ObjectId(5cd99d4bde30eff6ebccfce7)
